source:,https://www.sec.gov/cgi-bin/browse-edgar?action=getcurrent,,forms_checked:,53161
number_loans:,1,,total_loan_amount:,1390298467
last_updated:,"2021-01-07 00:07:57"
name,ticker,exchange,cik,sector,industry,market_cap,market_cap_date,accession_number,sec_url,form,sec_filing_date,loan_amount_usd,note,revenue_consensus,full_time_employees,city,state,state_code,zipcode,country_code,metro_area_cbsa,website,summary,returned_loan,return_filing,bank
"FreightCar America, Inc.",RAIL,NASDAQ,0001320854,"Capital Goods",Railroads,37438938,,0000117184320002866,https://www.sec.gov/Archives/edgar/data/1320854/000117184320002866/0001171843-20-002866-index.htm,8-K,2020-04-24,10000000,,28500000,496,Chicago,Illinois,IL,60606,US,"Chicago-Naperville-Elgin, IL-IN-WI",http://www.freightcaramerica.com,"FreightCar America, Inc., through its subsidiaries, designs, manufactures, and sells railcars and railcar components for the transportation of bulk commodities and containerized freight products primarily in North America. It operates through two segments, Manufacturing and Parts. The company offers a range of freight cars, including covered hopper cars; open top hoppers; coil gondolas; triple hoppers and hybrid aluminum/stainless steel railcars; ore hopper and gondola railcars; ballast hopper cars; aggregate hopper cars; intermodal flat cars; and non-intermodal flat cars. It also provides coal cars, bulk commodity cars, coil steel cars, and boxcars; and woodchip hoppers, aluminum vehicle carriers, intermodal doublestack railcars, and articulated bulk container railcars. In addition, the company sells used railcars; leases and rebuilds railcars; and sells forged, cast, and fabricated parts for various railcars. It also exports its manufactured railcars to Latin America and the Middle East. The company's customers primarily include railroads, shippers, and financial institutions. FreightCar America, Inc. was founded in 1901 and is headquartered in Chicago, Illinois.",FALSE,,"JPMorgan Chase Bank"
"Harte Hanks, Inc.",HHS,NYSE,0000045919,Technology,Advertising,17328313,,0000143774920008460,https://www.sec.gov/Archives/edgar/data/45919/000143774920008460/0001437749-20-008460-index.htm,8-K,2020-04-24,10000000,,39500000,1943,"San Antonio",Texas,TX,78216,US,"San Antonio-New Braunfels, TX",http://www.hartehanks.com,"Harte Hanks, Inc. provides various multi-channel marketing services in the United States and internationally. The company provides agency services, such as customer engagement solutions in direct and digital communications for consumer and business-to-business markets; digital services, including search engine management, display, digital analytics, Website development and design, digital strategy, social media, email, e-commerce, and interactive relationship management services; and database marketing and business-to-business lead generation solutions that offer insight and analytics, customer data integration, and marketing communications tools. It also provides direct marketing services, including digital printing, print on demand, advanced mail optimization, logistics and transportation optimization, tracking, commingling, shrink wrapping, and specialized mailing services, as well as custom kitting, print on demand, product recalls, and freight optimization services through its fulfillment centers; and operates teleservice workstations, which offer contact center solutions comprising speech, voice and video chat, integrated voice response, analytics, social cloud monitoring, and Web self-services. The company provides its services primarily to the retail, B2B, financial services, consumer, and healthcare vertical markets. Harte Hanks, Inc. was founded in 1923 and is headquartered in San Antonio, Texas.",FALSE,,"Texas Capital Bank"
"Quantum Corporation",QMCO,NASDAQ,0000709283,Technology,"Electronic Components",249330097,,0000162828020005063,https://www.sec.gov/Archives/edgar/data/709283/000162828020005063/0001628280-20-005063-index.htm,8-K,2020-04-16,10000000,,87020000,800,"San Jose",California,CA,95110,US,"San Jose-Sunnyvale-Santa Clara, CA",http://www.quantum.com,"Quantum Corporation provides products for storing and managing video and video-like data in the Americas, Europe, and the Asia Pacific. The company offers StorNext software systems for video editing, and management of large video and image datasets; and Scalar tape systems that provide long-term data storage facility to archive and preserve digital content for decades. It also provides DXi backup systems for backup storage and multi-site disaster recovery; and surveillance and industrial Internet of Things storage systems, such as Cloud Storage Platform Software that offer block storage to record and store video. In addition, the company offers Ruggedized Storage Systems, which are removable storage systems for in-vehicle data capture, mobile surveillance, and military applications; and related maintenance, implementation, and training services. Further, it sells linear tape-open (LTO) tape cartridges, as well as standalone LTO tape drives for small business and desktop applications. The company sells its products through a network of distributors, value-added resellers, direct marketing resellers, original equipment manufacturers, and other suppliers, as well as directly to corporate entities and government agencies. Quantum Corporation was founded in 1980 and is headquartered in San Jose, California.",FALSE,,"PNC Bank"
"GSE Systems, Inc.",GVP,NASDAQ,0000944480,Technology,"Computer Software: Prepackaged Software",27220265,,0000094448020000027,https://www.sec.gov/Archives/edgar/data/944480/000094448020000027/0000944480-20-000027-index.htm,8-K,2020-04-30,10000000,,18400000,,Sykesville,Maryland,MD,21784,US,"Baltimore-Columbia-Towson, MD",http://www.gses.com,"GSE Systems, Inc. provides simulation, training, and engineering solutions to the power and process industries in the United States, Asia, Europe, and internationally. It operates through two segments, Performance Improvement Solutions and Nuclear Industry Training and Consulting. The Performance Improvement Solutions segment provides various simulation products, engineering services, and operation training systems for the nuclear, fossil fuel power generation, and process industries. The Nuclear Industry Training and Consulting segment offers instructors, procedure writers, project managers, work management specialists, and planners and training material developers for the nuclear power industry. The company markets its products and services through a network of direct sales staff, agents and representatives, and strategic alliance partners. GSE Systems, Inc. was founded in 1994 and is headquartered in Sykesville, Maryland.",FALSE,,"Citizen's Bank"
"MiMedx Group, Inc.",MDXG,OTC,0001376339,"Health Care","Medical/Dental Instruments",1008292395,,0000137633920000019,https://www.sec.gov/Archives/edgar/data/1376339/000137633920000019/0001376339-20-000019-index.htm,8-K,2020-04-21,10000000,"Filed notice with SEC that the company will return $10,000,000 loan on 4/21/20.",84500000,753,Marietta,Georgia,GA,30062,US,"Atlanta-Sandy Springs-Roswell, GA",http://www.mimedx.com,"MiMedx Group, Inc., a biopharmaceutical company, develops and markets regenerative biologics utilizing human placental tissue allografts with patent-protected processes for various sectors of healthcare. It processes the human placental tissue utilizing its proprietary PURION Process to produce allografts. The company's proprietary processing methodology employs aseptic processing techniques in addition to terminal sterilization. Its biomaterial platform technologies include AmnioFix and EpiFix that are tissue technologies processed from human amniotic membrane derived from donated placental tissue for homologous applications; OrthoFlo, an amniotic fluid-derived allograft for homologous applications; Physio, a bone grafting material comprising 100% bone tissue with no added carrier; and CollaFix, a technology platform derived from collagen fiber technology designed to mimic the natural composition, structure, and mechanical properties of musculoskeletal tissues to augment their repair. The company also offers EpiCord, an umbilical cord allograft that provides a connective tissue matrix to replace or supplement damaged or inadequate integumental tissue; AmnioCord, an umbilical cord allograft that offers a protective environment for the healing process; and AmnioFill, a cellular tissue matrix allograft that enhances healing. Its products have applications in the areas of wound care, burns, surgery, orthopedics, spine, sports medicine, ophthalmology, and dentistry. The company sells its products through direct sales force, and independent stocking distributors, and third party representatives in the United States, as well as independent distributors internationally. MiMedx Group, Inc. is headquartered in Marietta, Georgia.",TRUE,https://www.sec.gov/Archives/edgar/data/1376339/000137633920000031/0001376339-20-000031-index.htm,"Bank of America"
"CalAmp Corp.",CAMP,NASDAQ,0000730255,Technology,"Radio And Television Broadcasting And Communications Equipment",347544442,,0000156459020017709,https://www.sec.gov/Archives/edgar/data/730255/000156459020017709/0001564590-20-017709-index.htm,8-K,2020-04-21,10000000,"Filed notice with SEC that the company will return $10,000,000 loan on 4/21/20.",85950000,882,Irvine,California,CA,92618,US,"Los Angeles-Long Beach-Anaheim, CA",http://www.calamp.com,"CalAmp Corp. provides in telematics systems, and software and subscription services in the United States, Latin America, Western Europe, Asia Pacific, the Middle East, Africa, and internationally. The company offers mobile resource management telematics devices for the Internet of Things market, which enable customers to optimize their operations by collecting, monitoring, and reporting business-critical information and desired intelligence from remote and mobile assets. It also provides telematics products, including asset tracking units, mobile telematics devices, fixed and mobile wireless gateways, and routers. In addition, the company offers CalAmp Telematics Cloud platform, such as cloud-based application enablement and telematics service platforms that facilitate integration of its own applications, as well as those of third parties, through open application programming interfaces; and software as a service applications. It sells its products and services to customers in the automotive, insurance, transportation and logistics, government, construction, and utilities markets through direct sales organization, a channel partner program and an international network of licensees, and sales representatives, as well as its Websites and digital presence. CalAmp Corp. has a strategic relationship with Sprint to deliver intelligent telematics devices and software applications. The company was founded in 1981 and is headquartered in Irvine, California.",TRUE,https://www.sec.gov/Archives/edgar/data/730255/000156459020018849/0001564590-20-018849-index.htm,"JPMorgan Chase Bank"
"IDT Corporation",IDT,NYSE,0001005731,"Public Utilities","Telecommunications Equipment",315385510,,0000121390020010054,https://www.sec.gov/Archives/edgar/data/1005731/000121390020010054/0001213900-20-010054-index.htm,8-K,2020-04-24,10000000,"Filed notice with SEC that the company will return $10,000,000 loan on 4/24/20.",,1270,Newark,"New Jersey",NJ,07102,US,"New York-Newark-Jersey City, NY-NJ-PA",http://www.idt.net,"IDT Corporation operates primarily in the telecommunications and payment industries in the United States and internationally. The company operates in two segments, Telecom & Payment Services, and net2phone-Unified Communications as a Service. The Telecom & Payment Services Services segment offers retail telecommunication products, including international long-distance calling products primarily to foreign-born communities; wholesale international long distance traffic termination services for tier 1 fixed line and mobile network operators, as well as for other service providers; and payment offerings, such as international and domestic airtime top-up, domestic bill payment, and international money transfer services. The net2phone-Unified Communications as a Service segment provides voice over Internet protocol products and services under the net2phone brand name, including cloud-based private branch exchange (PBX) services to enterprise customers primarily through value-added resellers, service providers, telecom agents, and managed service providers; session initiation protocol trunking services, which support inbound and outbound domestic and international calling from an IP PBX; and cable telephony services. IDT Corporation was founded in 1990 and is headquartered in Newark, New Jersey.",TRUE,https://www.sec.gov/Archives/edgar/data/1005731/000121390020010106/0001213900-20-010106-index.htm,"TD Bank"
"Hallador Energy Company",HNRG,NASDAQ,0000788965,Energy,"Coal Mining",44784528,,0000078896520000009,https://www.sec.gov/Archives/edgar/data/788965/000078896520000009/0000788965-20-000009-index.htm,8-K,2020-04-16,10000000,,67900000,915,"Terre Haute",Indiana,IN,47802,US,"Terre Haute, IN",http://www.halladorenergy.com,"Hallador Energy Company, through its subsidiaries, engages in the mining, production, and sale of steam coal for the electric power generation industry in the United States. The company holds interests in the Oaktown 1 mine underground mine located in Knox County, Indiana; the Oaktown 2 mine located in Knox County, Indiana and Lawrence County, Illinois; Carlisle underground coal mine located near the town of Carlisle, Indiana; and Ace in the Hole mine located near Clay City, Indiana. It is also involved in gas exploration activities in Indiana. The company was founded in 1949 and is headquartered in Terre Haute, Indiana.",FALSE,,"First Financial Bank"
"Independence Contract Drilling, Inc.",ICD,NYSE,0001537028,Energy,"Oil & Gas Production",18156905,,0000153702820000074,https://www.sec.gov/Archives/edgar/data/1537028/000153702820000074/0001537028-20-000074-index.htm,8-K,2020-05-01,10000000,,37100000,650,Houston,Texas,TX,77070,US,"Houston-The Woodlands-Sugar Land, TX",http://www.icdrilling.com,"Independence Contract Drilling, Inc. provides land-based contract drilling services for oil and natural gas producers in the United States. The company constructs, owns, and operates a fleet of pad-optimal ShaleDriller rigs that are engineered and designed to accelerate its clients' production profiles and cash flows from their technically demanding and economically impactful oil and gas properties in the Permian Basin, the Haynesville Shale, and the Eagle Ford Shale. Its fleet consists of 29 rigs. The company was founded in 2011 and is headquartered in Houston, Texas.",FALSE,,"City Bank"
"Luby's, Inc.",LUB,NYSE,0000016099,"Consumer Services",Restaurants,87127704,,0000001609920000063,https://www.sec.gov/Archives/edgar/data/16099/000001609920000063/0000016099-20-000063-index.htm,8-K,2020-04-23,10000000,,,6133,Houston,Texas,TX,77040,US,"Houston-The Woodlands-Sugar Land, TX",http://www.lubysinc.com,"Luby's, Inc. provides restaurant services in the United States. It operates through five segments: Luby's restaurants, Fuddruckers restaurants, Cheeseburger in Paradise restaurants, Fuddruckers franchise operations, and Culinary Contract Services. The company operates casual dining restaurants; and offers culinary contract services, including contract arrangements to manage food services for healthcare clients, corporate dining clients, government buildings, and sports stadiums, as well as through retail grocery stores. Its primary brands include Luby's Cafeteria, Fuddruckers - World's Greatest Hamburgers, and Cheeseburger in Paradise, as well as Luby's Culinary Contract Services. As of August 29, 2019, the company operated 124 restaurants; and franchised 102 Fuddruckers restaurants. As of November 15, 2019, it operated 32 locations through Culinary Contract Services. The company was formerly known as Luby's Cafeterias, Inc. Luby's, Inc. was founded in 1947 and is headquartered in Houston, Texas.",FALSE,,"Texas Capital Bank"
"Potbelly Corporation",PBPB,NASDAQ,0001195734,"Consumer Services",Restaurants,106532800,,0000119312520105245,https://www.sec.gov/Archives/edgar/data/1195734/000119312520105245/0001193125-20-105245-index.htm,8-K,2020-04-13,10000000,"Filed notice with SEC that the company will return $10,000,000 loan on 4/13/20.",89640000,6000,Chicago,Illinois,IL,60606,US,"Chicago-Naperville-Elgin, IL-IN-WI",http://www.potbelly.com,"Potbelly Corporation, through its subsidiaries, owns, operates, and franchises Potbelly Sandwich Works sandwich shops in the United States. The company offers toasty warm sandwiches, salads, soups, chili, sides, desserts, breakfast sandwiches, and steel cut oatmeal. As of February 25, 2020, the company operated approximately 400 shops in the United States; and approximately 40 franchisees operated shops in the United States. The company was formerly known as Potbelly Sandwich Works, Inc. and changed its name to Potbelly Corporation in 2002. Potbelly Corporation was founded in 1977 and is headquartered in Chicago, Illinois.",TRUE,https://www.sec.gov/Archives/edgar/data/1195734/000119312520120003/0001193125-20-120003-index.htm,"JPMorgan Chase Bank"
"Rhino Resource Partners LP",RHNO,OTC,0001490630,Energy,"Bituminous coal and lignite-surface",4266540,,0000149315220007380,https://www.sec.gov/Archives/edgar/data/1490630/000149315220007380/0001493152-20-007380-index.htm,8-K,2020-04-29,10000000,,,,Lexington,Kentucky,KY,40503,US,"Lexington-Fayette, KY",http://www.rhinolp.com,"Rhino Resource Partners LP, together with its subsidiaries, produces, processes, and sells various grades of steam and metallurgical coal from surface and underground mines in the United States. It operates mines in Kentucky, Ohio, West Virginia, and Utah. The company markets its steam coal primarily to electric utility companies as fuel for their steam powered generators; and metallurgical coal primarily to steel and coke producers. As of December 31, 2018, it controlled an estimated 268.5 million tons of proven and probable coal reserves, consisting of an estimated 214.0 million tons of steam coal and an estimated 54.5 million tons of metallurgical coal; and 164.1 million tons of non-reserve coal deposits. Rhino GP LLC operates as a general partner of the company. The company was founded in 2003 and is based in Lexington, Kentucky.",FALSE,,"Blue Ridge Bank"
"Shake Shack Inc.",SHAK,NYSE,0001620533,"Consumer Services",Restaurants,2147483647,,0000110465920049252,https://www.sec.gov/Archives/edgar/data/1620533/000110465920049252/0001104659-20-049252-index.htm,8-K,2020-04-21,10000000,"Filed notice with SEC that the company will return $10,000,000 loan on 4/21/20.",146310000,7603,"New York","New York",NY,10014,US,"New York-Newark-Jersey City, NY-NJ-PA",http://www.shakeshack.com,"Shake Shack Inc. owns, operates, and licenses Shake Shack restaurants (Shacks) in the United States and internationally. Its Shacks offers hamburgers, hot dogs, chicken, crinkle cut fries, shakes, frozen custard, beer, wine, and other products. As of December 26, 2018, it operated 208 Shacks, including 124 domestic company-operated Shacks, 12 domestic licensed Shacks, and 72 international licensed Shacks. Shake Shack Inc. was founded in 2004 and is headquartered in New York, New York.",TRUE,https://www.sec.gov/Archives/edgar/data/1620533/000110465920049252/0001104659-20-049252-index.htm,"JPMorgan Chase Bank"
"Castlight Health, Inc.",CSLT,NYSE,0001433714,Technology,"EDP Services",199913433,,0000143371420000034,https://www.sec.gov/Archives/edgar/data/1433714/000143371420000034/0001433714-20-000034-index.htm,8-K,2020-04-28,10000000,"Filed notice with SEC that the company will return $10,000,000 loan on 4/28/20.",33270000,463,"San Francisco",California,CA,94105,US,"San Francisco-Oakland-Hayward, CA",http://www.castlighthealth.com,"Castlight Health, Inc. provides health navigation solutions for employers and health plan customers in education, manufacturing, retail, technology, and government industries in the United States. It provides Care Guidance Navigator that enables users to make care decisions and navigate the employer-sponsored healthcare benefit programs; Wellbeing Navigator, which helps to drive engagement across an employer's benefits program; and Complete Health Navigator that combines the Wellbeing Navigator and Care Guidance Navigator packages for unified user experience. The company also offers white-labeled health navigation solutions and embedded platform technology services. In addition, it provides implementation, user and customer support, and marketplace services. The company was formerly known as Ventana Health Services and changed its name to Castlight Health, Inc. in April 2010. Castlight Health, Inc. was founded in 2008 and is headquartered in San Francisco, California.",TRUE,https://www.sec.gov/Archives/edgar/data/1433714/000143371420000034/0001433714-20-000034-index.htm,Unidentified
"Staffing 360 Solutions, Inc.",STAF,NASDAQ,0001499717,Technology,"Professional Services",6481976,,0000156459020025661,https://www.sec.gov/Archives/edgar/data/1499717/000156459020025661/0001564590-20-025661-index.htm,8-K,2020-05-15,10000000,,66060000,270,"New York","New York",NY,10022,US,"New York-Newark-Jersey City, NY-NJ-PA",http://www.staffing360solutions.com,"Staffing 360 Solutions, Inc., a staffing company, engages in the acquisition of staffing companies in the United States and the United Kingdom. The company operates through three segments: Commercial - US, Professional - US, and Professional - UK. It focuses primarily on the staffing companies supporting accounting and finance, information technology, engineering, administration, and commercial disciplines. The company, through its subsidiaries, offers temporary contractors; and permanent placement services. The company was formerly known as Golden Fork Corporation and changed its name to Staffing 360 Solutions, Inc. in April 2012. Staffing 360 Solutions, Inc. was founded in 2009 and is headquartered in New York, New York.",FALSE,,"Newton Federal Bank"
"EVO Transportation & Energy Services, Inc.",EVOA,OTC,0000728447,"Consumer Cyclical","Retail-Auto Dealers & Gasoline Stations",160160640,,0000121390020010600,https://www.sec.gov/Archives/edgar/data/728447/000121390020010600/0001213900-20-010600-index.htm,8-K,2020-04-30,10000000,,,259,Peoria,Arizona,AZ,85382,US,"Phoenix-Mesa-Scottsdale, AZ",http://www.evotransinc.com,"EVO Transportation & Energy Services, Inc., through its subsidiaries, engages in fulfilling government and corporate contracts for freight trucking services and compressed natural gas service stations in the United States. The company offers solutions through a combination of diesel and CNG trucks and tractors in 15 states. It also operates 5 CNG refueling stations in Jurupa Valley, CA; Lake Arlington, TX; Fort Worth, TX; Oak Creek, WI; Tolleson, AZ; and San Antonio, TX. The company was formerly known as Minn Shares, Inc. and changed its name to EVO Transportation & Energy Services, Inc. in September 2017. EVO Transportation & Energy Services, Inc. was incorporated in 2010 and is based in Peoria, Arizona.",FALSE,,"Bank of Oklahoma"
"Christopher & Banks Corporation",CBKC,OTC,0000883943,"Consumer Cyclical","Womens clothing stores",6520000,,0000088394320000050,https://www.sec.gov/Archives/edgar/data/883943/000088394320000050/0000883943-20-000050-index.htm,8-K,2020-06-03,10000000,,,1184,Plymouth,Minnesota,MN,55441,US,"Minneapolis-St. Paul-Bloomington, MN-WI",http://www.christopherandbanks.com,"Christopher & Banks Corporation, through its subsidiaries, operates as a specialty retailer of private-brand women's apparel and accessories in the United States. The company designs and sells women's apparel and accessories to customers ranging in age from 50 and older. Its stores offer women's apparel consisting of casual clothing, everyday basics, wear-to-work, leisure/active wear, and sleepwear in missy, petite, and women sizes, as well as jewelry and accessories. As of April 18, 2019, the company operated 457 stores, including 313 missy, petite, women stores; and 81 Outlet stores, 33 Christopher & Banks stores, and 30 stores in its women's plus size clothing division CJ Banks in 45 states. It also operates christopherandbanks.com, an e-commerce Website for its Christopher & Banks and CJ Banks brands. The company was formerly known as Braun's Fashions Corporation and changed its name to Christopher & Banks Corporation in July 2000. Christopher & Banks Corporation was founded in 1956 and is headquartered in Plymouth, Minnesota.",FALSE,,"Cache Valley Bank"
